"Breed","Species","Sex","ID","From","Origin","Info","Temperament","Hypoallergenic","Good_With_Children","Activity.Level","Life.Expectancy","Size","Name","Height","Weight","Age","Neutered","Pregnancy","Adopted","HomeFoster","RemoteFoster","Caretaker","SpecialConditions"
"Italian Greyhound","Dog","Male","SHD1370","SHELTER","Italy","Companion Dog","Intelligent","Yes","No","Regular","14-15 Years","S","Sandra",88,28,11,"Yes","No","No","Yes","Yes","No","-"
"Italian Greyhound","Dog","Female","OWD2299","OWNER","Italy","Companion Dog","Agile","Yes","No","Regular","14-15 Years","S","Daniel",22,27,3,"No","Yes","No","Yes","Yes","No","-"
"Italian Greyhound","Dog","Male","SHD1270","SHELTER","Italy","Companion Dog","Athletic","Yes","No","Regular","14-15 Years","S","Yesenia",46,29,8,"Yes","No","No","Yes","Yes","No","-"
"Labrador Retriever","Dog","Female","SHD3118","SHELTER","Canada, the United Kingdom (England)","Gun Dog","Gentle","No","Yes","Frenetic","10-12 Years","L","Mubashshir",15,20,11,"Yes","No","No","No","Yes","Yes","Explanations"
"Labrador Retriever","Dog","Female","OWD3778","OWNER","Canada, the United Kingdom (England)","Gun Dog","Intelligent","No","Yes","Frenetic","10-12 Years","L","Jacob",61,27,5,"Yes","No","No","No","No","No","-"
"Labrador Retriever","Dog","Male","OWD1300","OWNER","Canada, the United Kingdom (England)","Gun Dog","Friendly","No","Yes","Frenetic","10-12 Years","L","Shuaib",36,26,4,"Yes","No","Yes","No","Yes","No","-"
"Labrador Retriever","Dog","Female","SHD1468","SHELTER","Canada, the United Kingdom (England)","Gun Dog","Cheerful","No","Yes","Frenetic","10-12 Years","L","Konray",54,27,1,"Yes","No","No","No","Yes","No","Explanations"
"Leonberger","Dog","Female","SHD1548","SHELTER","Germany","Guardian Dog","Loyal","No","Yes","Regular","7 Years","Giant","Kaamil",28,13,1,"Yes","No","No","Yes","Yes","No","-"
"Leonberger","Dog","Female","OWD3932","OWNER","Germany","Guardian Dog","Fearless","No","Yes","Regular","7 Years","Giant","Michael",71,12,12,"Yes","No","Yes","Yes","Yes","No","-"
"Leonberger","Dog","Male","OWD3479","OWNER","Germany","Guardian Dog","Companionable","No","Yes","Regular","7 Years","Giant","Aubrey",50,9,5,"Yes","No","Yes","Yes","Yes","No","-"
"Leonberger","Dog","Female","OWD3636","OWNER","Germany","Guardian Dog","Obedient","No","Yes","Regular","7 Years","Giant","Sable",31,22,9,"No","Yes","No","No","No","No","-"
"Lhasa Apso","Dog","Male","OWD1018","OWNER","Tibet","Companion Dog","Friendly","No","Yes","Regular","12-15 Years","S","Sharwagya",89,32,2,"Yes","No","No","No","Yes","No","Explanations"
"Lhasa Apso","Dog","Male","SHD2771","SHELTER","Tibet","Companion Dog","Energetic","No","Yes","Regular","12-15 Years","S","Tsengel",54,23,3,"Yes","No","Yes","No","Yes","No","-"
"Lhasa Apso","Dog","Female","OWD2985","OWNER","Tibet","Companion Dog","Intelligent","No","Yes","Regular","12-15 Years","S","Najiyya",77,13,13,"Yes","No","No","No","Yes","Yes","-"
"Lhasa Apso","Dog","Male","SHD1935","SHELTER","Tibet","Companion Dog","Playful","No","Yes","Regular","12-15 Years","S","Taylor",52,11,7,"No","No","No","No","Yes","No","-"
"Maltese","Dog","Female","OWD3383","OWNER","Italy","Companion Dog","Docile","Yes","No","Regular","12-15 Years","S","Safiya",82,8,12,"No","Yes","Yes","No","Yes","No","-"
"Maltese","Dog","Female","SHD1577","SHELTER","Italy","Companion Dog","Gentle","Yes","No","Regular","12-15 Years","S","Jareer",48,10,11,"Yes","No","No","No","Yes","No","-"
"Maltese","Dog","Male","SHD3454","SHELTER","Italy","Companion Dog","Lively","Yes","No","Regular","12-15 Years","S","Carlie",84,34,5,"Yes","No","No","Yes","No","Yes","-"
"Maltese","Dog","Male","SHD1967","SHELTER","Italy","Companion Dog","Playful","Yes","No","Regular","12-15 Years","S","Abood",71,29,12,"Yes","No","No","No","No","No","-"
"Newfoundland","Dog","Male","OWD2950","OWNER","Newfoundland (Canada)","Guardian Dog","Gentle","No","Yes","Regular","9-10 Years","L","Brandon",44,10,8,"Yes","No","No","No","No","No","-"
"Newfoundland","Dog","Female","OWD3214","OWNER","Newfoundland (Canada)","Guardian Dog","Trainable","No","Yes","Regular","9-10 Years","L","Sabrina",58,14,1,"Yes","No","Yes","Yes","Yes","No","-"
"Newfoundland","Dog","Male","OWD1663","OWNER","Newfoundland (Canada)","Guardian Dog","Sweet-Tempered","No","Yes","Regular","9-10 Years","L","Jymmetta",86,7,9,"Yes","No","No","Yes","Yes","No","-"
"Norwegian Elkhound","Dog","Male","OWD1966","OWNER","Norway","Northern Breed","Playful","No","Yes","Regular","12-15 Years","M","Tyler",46,30,13,"Yes","No","Yes","Yes","Yes","No","-"
"Norwegian Elkhound","Dog","Male","SHD1521","SHELTER","Norway","Northern Breed","Intelligent","No","Yes","Regular","12-15 Years","M","Shawqi",15,21,13,"No","No","No","Yes","Yes","No","-"
"Norwegian Elkhound","Dog","Female","SHD3512","SHELTER","Norway","Northern Breed","Hardy","No","Yes","Regular","12-15 Years","M","Mahelit",65,12,12,"Yes","No","No","No","Yes","No","Explanations"
"Norwegian Elkhound","Dog","Male","OWD3400","OWNER","Norway","Northern Breed","Strong Willed","No","Yes","Regular","12-15 Years","M","Alfredo",85,6,1,"Yes","No","Yes","Yes","Yes","No","-"
"Nova Scotia Duck Tolling Retriever","Dog","Male","SHD2898","SHELTER","Canada","Gun Dog","Loving","No","Yes","Frenetic","12-14 Years","M","Hazm",63,27,11,"Yes","No","No","No","No","No","-"
"Nova Scotia Duck Tolling Retriever","Dog","Female","SHD2691","SHELTER","Canada","Gun Dog","Outgoing","No","Yes","Frenetic","12-14 Years","M","Stacy",35,5,11,"Yes","No","Yes","Yes","Yes","No","-"
"Nova Scotia Duck Tolling Retriever","Dog","Male","SHD1940","SHELTER","Canada","Gun Dog","Patient","No","Yes","Frenetic","12-14 Years","M","Natasha",37,23,5,"Yes","No","Yes","Yes","Yes","No","-"
"Nova Scotia Duck Tolling Retriever","Dog","Male","SHD1035","SHELTER","Canada","Gun Dog","Alert","No","Yes","Frenetic","12-14 Years","M","Francisco",69,28,13,"Yes","No","No","No","Yes","No","Explanations"
"Old English Sheepdog","Dog","Female","SHD2279","SHELTER","The United Kingdom (England)","Herding Dog","Bubbly","No","Yes","Regular","10-12 Years","L","Ny'Alahe",39,8,6,"Yes","No","No","Yes","Yes","No","-"
"Old English Sheepdog","Dog","Male","OWD1868","OWNER","The United Kingdom (England)","Herding Dog","Loving","No","Yes","Regular","10-12 Years","L","Marina",32,23,10,"Yes","No","Yes","No","Yes","No","-"
"Old English Sheepdog","Dog","Female","SHD3832","SHELTER","The United Kingdom (England)","Herding Dog","Adaptable","No","Yes","Regular","10-12 Years","L","Aslam",43,10,11,"No","Yes","No","Yes","Yes","Yes","-"
"Old English Sheepdog","Dog","Male","SHD2018","SHELTER","The United Kingdom (England)","Herding Dog","Intelligent","No","Yes","Regular","10-12 Years","L","Manuel",70,16,5,"Yes","No","No","Yes","No","No","-"
"Portuguese Water Dog","Dog","Male","SHD3725","SHELTER","Portugal","Gun Dog","Quarrelsome","Yes","Yes","Energetic","11-13 Years","M","Gerardo",64,26,6,"Yes","No","No","Yes","Yes","No","Explanations"
"Portuguese Water Dog","Dog","Male","OWD2185","OWNER","Portugal","Gun Dog","Impetuous","Yes","Yes","Energetic","11-13 Years","M","Oriana",41,24,2,"Yes","No","No","No","Yes","No","Explanations"
"Portuguese Water Dog","Dog","Female","SHD2215","SHELTER","Portugal","Gun Dog","Brave","Yes","Yes","Energetic","11-13 Years","M","Corey",83,28,11,"No","Yes","Yes","Yes","Yes","No","-"
"Portuguese Water Dog","Dog","Male","OWD1678","OWNER","Portugal","Gun Dog","Docile","Yes","Yes","Energetic","11-13 Years","M","Tristan",67,8,9,"Yes","No","No","Yes","Yes","No","-"
"Samoyed","Dog","Male","SHD3120","SHELTER","Russia","Northern Breed","Sociable","Yes","Yes","Energetic","12-14 Years","M","Alejandro",65,15,8,"Yes","No","No","Yes","Yes","Yes","-"
"Samoyed","Dog","Male","SHD2321","SHELTER","Russia","Northern Breed","Playful","Yes","Yes","Energetic","12-14 Years","M","Muna",71,27,6,"Yes","No","Yes","No","Yes","No","-"
"Samoyed","Dog","Male","OWD3964","OWNER","Russia","Northern Breed","Lively","Yes","Yes","Energetic","12-14 Years","M","Varun",42,13,12,"No","No","Yes","No","Yes","No","Explanations"
"Samoyed","Dog","Female","OWD1748","OWNER","Russia","Northern Breed","Friendly","Yes","Yes","Energetic","12-14 Years","M","Desiree",49,12,7,"No","Yes","No","Yes","Yes","No","Explanations"
"Weimaraner","Dog","Female","SHD1327","SHELTER","Germany","Gun Dog","Stubborn","No","Yes","Frenetic","10-13 Years","L","Abdul Waahid",41,13,10,"No","Yes","Yes","Yes","Yes","No","Explanations"
"Weimaraner","Dog","Female","SHD3885","SHELTER","Germany","Gun Dog","Intelligent","No","Yes","Frenetic","10-13 Years","L","Donovan",57,27,3,"Yes","No","No","No","No","No","Explanations"
"Weimaraner","Dog","Female","OWD3288","OWNER","Germany","Gun Dog","Energetic","No","Yes","Frenetic","10-13 Years","L","Miles",75,15,11,"Yes","No","No","Yes","Yes","No","-"
"Weimaraner","Dog","Male","OWD1815","OWNER","Germany","Gun Dog","Fast","No","Yes","Frenetic","10-13 Years","L","Rif'a",84,18,10,"No","No","No","No","No","No","Explanations"
"Yorkshire Terrier","Dog","Female","SHD3834","SHELTER","The United Kingdom (England)","Companion Dog","Independent","Yes","No","Regular","11-15 Years","S","Kevin",31,28,10,"Yes","No","No","No","Yes","No","-"
"Yorkshire Terrier","Dog","Male","SHD3333","SHELTER","The United Kingdom (England)","Companion Dog","Confident","Yes","No","Regular","11-15 Years","S","Aaisha",83,26,7,"Yes","No","Yes","No","Yes","No","Explanations"
"Yorkshire Terrier","Dog","Female","OWD2983","OWNER","The United Kingdom (England)","Companion Dog","Courageous","Yes","No","Regular","11-15 Years","S","Maria",19,26,13,"Yes","No","No","No","Yes","Yes","-"
"Yorkshire Terrier","Dog","Male","SHD3573","SHELTER","The United Kingdom (England)","Companion Dog","Intelligent","Yes","No","Regular","11-15 Years","S","Phillip",47,16,6,"Yes","No","No","Yes","Yes","Yes","-"
